model,year,price,transmission,mileage,fuel_type,engine_size,mileage2,fuel_type2,engine_size2,reference
 C Class,2019,28998.0,Manual,22.0,,,48.7,Petrol,1.6,/ad/25275425
 C Class,2019,32998.0,Semi-Auto,17.0,,,46.3,Petrol,1.5,/ad/25275542
 C Class,2019,29998.0,Semi-Auto,836.0,,,43.5,Petrol,2,/ad/25364604
 C Class,2019,57998.0,Semi-Auto,10.0,,,28.5,Petrol,4,/ad/25275058
 C Class,2020,29950.0,Semi-Auto,101.0,,,48.7,Diesel,2,/ad/25164389
 C Class,2019,30950.0,Automatic,101.0,,,55.4,Diesel,2,/ad/25271666
 C Class,2020,29950.0,Semi-Auto,101.0,,,64.2,Diesel,2,/ad/25271682
 C Class,2019,27990.0,Automatic,101.0,,,61.4,Diesel,2,/ad/25164387
 C Class,2019,41880.0,Automatic,151.0,,,29.7,Petrol,3,/ad/25273626
 C Class,2019,30990.0,Automatic,151.0,,,55.4,Diesel,2,/ad/25273628
 C Class,2019,49280.0,Automatic,962.0,,,28.5,Petrol,4,/ad/25254086
 C Class,2019,25495.0,Semi-Auto,631.0,,,60.1,Diesel,2.1,/ad/25276078
 C Class,2020,32480.0,Semi-Auto,16.0,,,64.2,Diesel,2,/ad/25279716
 C Class,2019,28351.0,Automatic,555.0,,,55.4,Diesel,2,/ad/25276255
 C Class,2020,31480.0,Semi-Auto,9.0,,,64.2,Diesel,2,/ad/25349088
 C Class,2019,31980.0,Semi-Auto,16.0,,,44.1,Petrol,1.5,/ad/25278094
 C Class,2019,29980.0,Semi-Auto,16.0,,,60.1,Diesel,1.6,/ad/25349189
 C Class,2020,32980.0,Semi-Auto,16.0,,,61.4,Diesel,2,/ad/25349191
 C Class,2020,35980.0,Semi-Auto,9.0,,,55.4,Diesel,2,/ad/25349149
 C Class,2020,32480.0,Semi-Auto,16.0,,,64.2,Diesel,2,/ad/25349166
 C Class,2020,22980.0,Manual,16.0,,,47.1,Petrol,1.6,/ad/25349171
 C Class,2020,31980.0,Semi-Auto,16.0,,,64.2,Diesel,2,/ad/25349174
 C Class,2020,31980.0,Semi-Auto,16.0,,,64.2,Diesel,2,/ad/25349176
 C Class,2019,31480.0,Semi-Auto,16.0,,,51.4,Diesel,2,/ad/25349198
 C Class,2019,29980.0,Semi-Auto,16.0,,,46.3,Petrol,1.5,/ad/25349207
 C Class,2019,35980.0,Semi-Auto,9.0,,,57.7,Diesel,2,/ad/25349234
 C Class,2019,31980.0,Semi-Auto,9.0,,,61.4,Diesel,2,/ad/25349237
 C Class,2020,33980.0,Semi-Auto,16.0,,,51.4,Diesel,2,/ad/25349268
 C Class,2020,29980.0,Semi-Auto,9.0,,,46.3,Petrol,1.5,/ad/25455869
 C Class,2019,33980.0,Semi-Auto,9.0,,,57.7,Diesel,2,/ad/25279148
 C Class,2019,31980.0,Semi-Auto,9.0,,,64.2,Diesel,2,/ad/25279149
 C Class,2019,31980.0,Semi-Auto,16.0,,,61.4,Diesel,2,/ad/25279156
 C Class,2019,32980.0,Semi-Auto,16.0,,,46.3,Petrol,1.5,/ad/25279160
 C Class,2019,36980.0,Automatic,9.0,,,61.4,Diesel,2,/ad/25279161
 C Class,2019,31980.0,Semi-Auto,9.0,,,46.3,Petrol,1.5,/ad/25349135
