model,year,price,transmission,mileage,fuel_type,engine_size,mileage2,fuel_type2,engine_size2,reference
 Focus,2020,19995.0,Automatic,500.0,,,50.4,Petrol,1000,/ad/25454290
 Focus,2019,17490.0,Manual,944.0,,,60.1,Petrol,1,/ad/25220891
 Focus,2020,18991.0,Manual,905.0,,,60.1,Petrol,1,/ad/25463207
 Focus,2019,16975.0,Manual,290.0,,,60.1,Petrol,1,/ad/25478298
 Focus,2019,15590.0,Manual,6.0,,,60.1,Petrol,1,/ad/25221078
 Focus,2019,22498.0,Manual,9.0,,,74.3,Diesel,1.5,/ad/25170276
 Focus,2020,21490.0,Manual,295.0,,,60.1,Petrol,1,/ad/25442140
 Focus,2020,21000.0,Manual,52.0,,,60.1,Petrol,1,/ad/25366504
 Focus,2019,17520.0,Manual,151.0,,,60.1,Petrol,1,/ad/25219670
 Focus,2019,17520.0,Manual,151.0,,,60.1,Petrol,1,/ad/25219674
 Focus,2020,18611.0,Automatic,293.0,,,54.3,Diesel,1.5,/ad/25232932
 Focus,2019,15590.0,Manual,10.0,,,60.1,Petrol,1,/ad/25219969
 Focus,2019,17520.0,Manual,100.0,,,60.1,Petrol,1,/ad/25219793
 Focus,2019,17520.0,Manual,150.0,,,60.1,Petrol,1,/ad/25219794
 Focus,2019,17520.0,Manual,100.0,,,60.1,Petrol,1,/ad/25219795
 Focus,2019,17500.0,Manual,151.0,,,60.1,Petrol,1,/ad/25163459
 Focus,2020,22990.0,Automatic,185.0,,,54.3,Diesel,1.5,/ad/25406082
 Focus,2019,21995.0,Manual,10.0,,,49.6,Petrol,1,/ad/25311797
 Focus,2019,17995.0,Manual,90.0,,,49.6,Petrol,1,/ad/25309186
 Focus,2019,15590.0,Manual,5.0,,,60.1,Petrol,1,/ad/25218164
 Focus,2019,16410.0,Manual,5.0,,,74.3,Diesel,1.5,/ad/25221839
 Focus,2018,20995.0,Manual,965.0,,,60.1,Petrol,1,/ad/25292970
 Focus,2020,23500.0,Manual,50.0,,,58.9,Petrol,1,/ad/25343993
 Focus,2020,18511.0,Manual,771.0,,,74.3,Diesel,1.5,/ad/25463224
 Focus,2019,19499.0,Automatic,430.0,,,51.4,Petrol,1,/ad/25208584
 Focus,2019,26500.0,Manual,419.0,,,34.5,Petrol,2.3,/ad/25331576
 Focus,2019,20170.0,Manual,100.0,,,60.1,Petrol,1,/ad/25221631
 Focus,2019,17520.0,Manual,8.0,,,60.1,Petrol,1,/ad/25221663
 Focus,2019,16477.0,Manual,292.0,,,49.6,Petrol,1,/ad/25223595
 Focus,2019,18900.0,Manual,100.0,,,58.9,Petrol,1,/ad/25284316
 Focus,2019,18299.0,Manual,731.0,,,60.1,Petrol,1,/ad/25166705
 Focus,2019,25950.0,Manual,25.0,,,34.5,Petrol,2.3,/ad/25285731
 Focus,2019,25950.0,Manual,16.0,,,34.5,Petrol,2.3,/ad/25208116
 Focus,2020,22000.0,Manual,50.0,,,48.7,Petrol,1,/ad/25408906
 Focus,2020,29000.0,Manual,350.0,,,34.5,Petrol,2.3,/ad/25485488
 Focus,2019,19490.0,Manual,500.0,,,47.9,Petrol,1,/ad/25334131
 Focus,2020,18900.0,Manual,10.0,,,60.1,Petrol,1,/ad/25485493
 Focus,2020,19995.0,Manual,130.0,,,58.9,Petrol,1,/ad/25259790
 Focus,2019,20000.0,Automatic,953.0,,,64.2,Diesel,2,/ad/25232663
 Focus,2019,19900.0,Automatic,942.0,,,51.4,Petrol,1,/ad/25234819
 Focus,2020,15600.0,Manual,557.0,,,60.1,Petrol,1,/ad/25219282
 Focus,2019,19490.0,Automatic,729.0,,,53.3,Diesel,1.5,/ad/25206953
 Focus,2020,28939.0,Manual,601.0,,,34.5,Petrol,2.3,/ad/25240383
 Focus,2018,16195.0,Automatic,440.0,,,50.4,Petrol,1,/ad/25291486
 Focus,2019,14995.0,Manual,843.0,,,60.1,Petrol,1,/ad/25323842
 Focus,2019,18699.0,Manual,603.0,,,47.9,Petrol,1,/ad/25235897
 Focus,2020,24799.0,Manual,641.0,,,50.4,Petrol,1.5,/ad/25235905
 Focus,2020,21499.0,Manual,807.0,,,62.8,Diesel,1.5,/ad/25235907
 Focus,2019,27890.0,Manual,900.0,,,34.5,Petrol,2.3,/ad/25291460
 Focus,2019,16800.0,Manual,30.0,,,58.9,Petrol,1,/ad/25344793
 Focus,2020,30999.0,Automatic,10.0,,,39.8,Petrol,1.5,/ad/25235812
 Focus,2019,17880.0,Manual,1.0,,,74.3,Diesel,1.5,/ad/25341767
 Focus,2020,20999.0,Automatic,7.0,,,50.4,Petrol,1,/ad/25413364
 Focus,2018,14950.0,Manual,581.0,,,58.9,Petrol,1,/ad/25242446
 Focus,2018,16000.0,Manual,124.0,,,60.1,Petrol,1,/ad/25242434
 Focus,2020,20000.0,Manual,10.0,,,51.4,Petrol,1.5,/ad/25453818
 Focus,2019,17500.0,Manual,20.0,,,58.9,Petrol,1,/ad/25417306
 Focus,2019,23996.0,Manual,50.0,,,48.7,Petrol,1,/ad/25232575
 Focus,2020,19490.0,Manual,877.0,,,58.9,Petrol,1,/ad/25437339
 Focus,2020,25500.0,Automatic,10.0,,,39.8,Petrol,1.5,/ad/25357653
 Focus,2019,22000.0,Automatic,17.0,,,50.4,Petrol,1,/ad/25420852
 Focus,2019,16479.0,Manual,9.0,,,60.1,Petrol,1,/ad/25165533
 Focus,2020,19480.0,Automatic,2.0,,,67.3,Diesel,1.5,/ad/25165547
 Focus,2018,15995.0,Manual,900.0,,,58.9,Petrol,1,/ad/25234805
 Focus,2020,22500.0,Manual,200.0,,,60.1,Petrol,1,/ad/25241820
 Focus,2020,22750.0,Manual,550.0,,,51.4,Petrol,1.5,/ad/25241834
 Focus,2019,18200.0,Manual,804.0,,,48.7,Petrol,1,/ad/24780668
 Focus,2019,17999.0,Automatic,95.0,,,48.7,Petrol,1000,/ad/25126445
