model,year,price,transmission,mileage,fueltype,tax,mpg,enginesize
 Corsa,2018,7885.0,Manual,9876,Petrol,145,55.4,1.4
 Corsa,2019,11995.0,Manual,2500,Petrol,145,54.3,1.4
 Corsa,2017,9777.0,Automatic,9625,Petrol,145,47.9,1.4
 Corsa,2016,8500.0,Manual,25796,Petrol,30,55.4,1.4
 Corsa,2019,10000.0,Manual,3887,Petrol,145,43.5,1.4
 Corsa,2017,9743.0,Manual,13546,Petrol,145,49.6,1.4
 Corsa,2011,3995.0,Manual,53067,Petrol,145,49.6,1.4
 Corsa,2019,9990.0,Manual,3953,Petrol,150,43.5,1.4
 Corsa,2018,10000.0,Manual,11160,Petrol,145,43.5,1.4
 Corsa,2016,6999.0,Manual,13046,Petrol,30,55.4,1.4
 Corsa,2016,7996.0,Manual,10316,Petrol,30,55.4,1.4
 Corsa,2013,4350.0,Manual,52243,Petrol,125,51.4,1.2
 Corsa,2012,2295.0,Manual,80000,Diesel,30,67.3,1.2
 Corsa,2009,3690.0,Manual,31000,Diesel,30,62.8,1.2
 Corsa,2017,8095.0,Manual,17866,Petrol,145,54.3,1.4
 Corsa,2014,5995.0,Manual,40584,Petrol,125,51.4,1.2
 Corsa,2016,6199.0,Manual,22519,Petrol,30,55.4,1.4
 Corsa,2016,7999.0,Manual,4314,Petrol,30,55.4,1.4
 Corsa,2016,7995.0,Manual,11991,Petrol,30,55.4,1.4
 Corsa,2018,9495.0,Manual,7905,Petrol,150,55.4,1.4
 Corsa,2016,6495.0,Manual,30161,Petrol,30,55.4,1.4
 Corsa,2018,6695.0,Manual,9293,Petrol,145,55.4,1.4
 Corsa,2013,4995.0,Manual,66000,Petrol,125,51.4,1.2
 Corsa,2014,4995.0,Manual,66000,Petrol,125,51.4,1.4
 Corsa,2008,4495.0,Automatic,31000,Petrol,200,42.8,1.4
 Corsa,2012,4695.0,Manual,63000,Petrol,125,51.4,1.2
 Corsa,2009,2495.0,Manual,86558,Petrol,160,45.6,1.4
 Corsa,2017,7199.0,Manual,20196,Petrol,145,55.4,1.4
 Corsa,2019,10699.0,Manual,1757,Petrol,145,43.5,1.4
 Corsa,2017,7790.0,Manual,27669,Petrol,30,55.4,1.4
 Corsa,2019,9699.0,Manual,4511,Petrol,145,43.5,1.4
 Corsa,2017,8999.0,Manual,4377,Petrol,145,55.4,1.4
 Corsa,2017,7285.0,Manual,25644,Petrol,30,55.4,1.4
 Corsa,2017,7999.0,Manual,14060,Petrol,30,55.4,1.4
